sample_id,sample_site,X,Y,queen,male,weight,parts_sent,date_collected,reference_number,notes,shipping_box,plate_number
BOGR_0001,EDD-150-065-24,-98.925603,47.801788,no,no,50,w,2017,2219,,baggie,plate 1
BOGR_0002,EDD-150-065-24,-98.925603,47.801788,no,no,40,w,2019,15376,,baggie,plate 1
BOGR_0003,EDD-150-065-24,-98.925603,47.801788,no,no,60,w,2019,15377,,baggie,plate 1
BOGR_0004,EDD-150-065-24,-98.925603,47.801788,yes,no,50,"half ab, 1l",2020,20949,,baggie,plate 1
BOGR_0005,Cass_Erie_Dam_WMA,-97.42942,47.099056,no,no,50,w,2017,71,,baggie,plate 1
BOGR_0006,Emmons_Schiermeister_WPA,-100.498669,46.384451,no,no,50,w,2018,11872,,baggie,plate 1
BOGR_0007,Cass_Erie_Dam_WMA,-97.42942,47.099056,no,no,60,w,2018,9519,,baggie,plate 1
BOGR_0008,EDD-150-065-24,-98.925603,47.801788,yes,no,50,ab,2019,14937,,baggie,plate 1
BOGR_0009,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,20,w,2019,15405,,box 1,plate 1
BOGR_0010,Pierce_Long_Lake_WPA,-99.825541,48.48316,yes,no,30,6l,2019,15408,,box 1,plate 1
BOGR_0011,Pierce_Long_Lake_WPA,-99.825541,48.48316,yes,no,50,ab,2018,9830,,box 1,plate 1
BOGR_0012,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,50,half ab,2018,9828,,box 1,plate 1
BOGR_0013,Pierce_Long_Lake_WPA,-99.825541,48.48316,yes,no,40,6L,2018,9827,,box 1,plate 1
BOGR_0014,Pierce_Long_Lake_WPA,-99.825541,48.48316,yes,no,30,6L,2018,9826,,box 1,plate 1
BOGR_0015,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,40,"ab, 6l",2018,11845,,box 1,plate 1
BOGR_0016,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,40,"ab, 6l",2018,11844,extra in tube labeled BOGR_0028_2,box 1,plate 1
BOGR_0017,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,60,w,2018,11843,,box 1,plate 1
BOGR_0018,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,40,w,2020,20936,,box 1,plate 1
BOGR_0019,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,60,w,2020,20883,,box 1,plate 1
BOGR_0020,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,40,w,2019,15382,,box 1,plate 1
BOGR_0021,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,50,"ab, 6l",2019,15381,,box 1,plate 1
BOGR_0022,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,50,w,2019,15380,,box 1,plate 1
BOGR_0023,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,60,w,2019,15379,,box 1,plate 1
BOGR_0024,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,60,w,2019,15364,,box 1,plate 1
BOGR_0025,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,40,w,2019,15362,,box 1,plate 1
BOGR_0026,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,60,w,2019,15363,,box 1,plate 1
BOGR_0027,Sheridan_Trego_West_1,Location available upon request and owner approval ,,no,no,50,w,2019,15378,,box 1,plate 1
BOGR_0028,McHenry_Taylor_Central ,Location available upon request and owner approval ,,yes,no,60,half ab,2018,9539,,box 1,plate 1
BOGR_0029,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,30,"ab, 6l",2018,11908,,box 1,plate 1
BOGR_0030,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,40,ab,2018,11899,,box 1,plate 1
BOGR_0031,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,50,"ab, 4l",2018,11909,,box 1,plate 1
BOGR_0032,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,50,ab,2018,11910,,box 1,plate 1
BOGR_0033,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,50,ab,2018,11911,extra in tube labeled BOGR_0045_2,box 1,plate 1
BOGR_0034,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,60,ab,2018,11912,,box 1,plate 1
BOGR_0035,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,40,"ab, 6l",2018,11913,,box 1,plate 1
BOGR_0036,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,40,"ab, 4l",2018,11914,,box 1,plate 1
BOGR_0037,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,40,ab,2018,11915,,box 1,plate 1
BOGR_0038,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,50,ab,2018,11916,,box 1,plate 1
BOGR_0039,McHenry_Taylor_Central ,Location available upon request and owner approval ,,no,no,50,ab,2018,11918,,box 1,plate 1
BOGR_0040,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,50,w,2020,20974,,box 1,plate 1
BOGR_0041,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,50,w,2020,20973,,box 1,plate 1
BOGR_0042,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,40,w,2020,20972,,box 1,plate 1
BOGR_0043,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,50,"ab, 6l",2020,20971,,box 1,plate 1
BOGR_0044,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,40,w,2020,20970,extra in tube labeled BOGR_0056_2,box 1,plate 1
BOGR_0045,Cavalier_Thorson_WPA,-98.6072073,48.55438964,yes,no,40,"half ab, 6l",2020,20978,,box 1,plate 1
BOGR_0046,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,30,"ab, 6l",2020,20977,,box 1,plate 1
BOGR_0047,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,60,w,2020,20976,,box 1,plate 1
BOGR_0048,Cavalier_Thorson_WPA,-98.6072073,48.55438964,no,no,50,w,2020,20975,,box 1,plate 1
BOGR_0049,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,w,2020,20822,,box 1,plate 1
BOGR_0050,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,40,"ab, 6l",2020,20824,,box 1,plate 1
BOGR_0051,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,"ab, 4l",2020,20779,,box 1,plate 1
BOGR_0052,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,"ab, 4l",2020,20782,,box 1,plate 1
BOGR_0053,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,60,w,2020,20780,,box 1,plate 1
BOGR_0054,Wells_Pipestone_WPA,-99.63883385,47.39720651,yes,no,40,6l,2020,20781,,box 1,plate 1
BOGR_0055,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,"ab, 6l",2020,20825,,box 1,plate 1
BOGR_0056,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,half ab,2020,20827,,box 1,plate 1
BOGR_0057,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,w,2020,20821,,box 1,plate 1
BOGR_0058,Wells_Pipestone_WPA,-99.63883385,47.39720651,no,no,50,w,2020,20823,,box 1,plate 1
BOGR_0059,WEL-149-069-36,-99.436155,47.687291,no,no,50,w,2009,15483,,box 1,plate 1
BOGR_0060,WEL-149-069-36,-99.436155,47.687291,yes,no,40,6l,2018,9903,,box 1,plate 1
BOGR_0061,WEL-149-069-36,-99.436155,47.687291,yes,no,40,6l,2018,9902,,box 1,plate 1
