sample_id,sample_site,X,Y,queen,male,weight,parts_sent,date_collected,reference_number,notes,shipping_box,plate_number
BOTE_0001,Griggs_Evers_WPA,-98.360844,47.503219,no,no,60,w,2017,753,,baggie,plate 1
BOTE_0002,Griggs_Evers_WPA,-98.360844,47.503219,no,no,40,w,2017,754,,baggie,plate 1
BOTE_0003,Griggs_Evers_WPA,-98.360844,47.503219,no,no,50,w,2017,731,,baggie,plate 1
BOTE_0004,Fitzsimond_Slough_WMA,-97.789134,48.94874,yes,no,60,"ab, 6l",2019,15563,extra in tube labeled bogr_0004_2,baggie,plate 1
BOTE_0005,Pierce_Long_Lake_WPA,-99.825541,48.48316,no,no,20,w,2020,21117,,baggie,plate 1
BOTE_0006,Griggs_Evers_WPA,-98.360844,47.503219,no,no,20,w,2017,745,pollen,baggie,plate 1
BOTE_0007,Griggs_Evers_WPA,-98.360844,47.503219,no,no,40,w,2017,767,,baggie,plate 1
BOTE_0008,GRI-148-061-36,-98.377549,47.592612,yes,no,50,ab,2017,14,,baggie,plate 1
BOTE_0009,ROL-160-072-36,-99.926416,48.819053,no,no,20,w,2020,21105,,baggie,plate 1
BOTE_0010,ROL-160-072-36,-99.926416,48.819053,no,no,20,w,2020,20639,,baggie,plate 1
BOTE_0011,Griggs_Evers_WPA,-98.360844,47.503219,no,no,20,w,2017,755,,baggie,plate 1
BOTE_0012,Griggs_Evers_WPA,-98.360844,47.503219,no,no,30,w,2017,768,extra in tube labeled BOGR_0012_2,baggie,plate 1
BOTE_0013,Towner_Berg_West,Location available upon request and owner approval ,,no,no,40,w,2018,11285,,box 3,plate 3
BOTE_0014,Towner_Berg_West,Location available upon request and owner approval ,,no,no,40,w,2018,11284,,box 3,plate 3
BOTE_0015,Towner_Berg_West,Location available upon request and owner approval ,,no,no,30,w,2018,11283,,box 3,plate 3
BOTE_0016,Towner_Berg_West,Location available upon request and owner approval ,,no,no,30,w,2018,11282,,box 3,plate 3
BOTE_0017,Towner_Berg_West,Location available upon request and owner approval ,,no,no,30,w,2018,11281,,box 3,plate 3
BOTE_0018,Towner_Berg_West,Location available upon request and owner approval ,,no,no,40,w,2018,11280,,box 3,plate 3
BOTE_0019,Towner_Berg_West,Location available upon request and owner approval ,,no,no,30,w,2018,11279,,box 3,plate 3
BOTE_0020,Towner_Berg_West,Location available upon request and owner approval ,,no,no,20,w,2018,11278,,box 3,plate 3
BOTE_0021,Towner_Berg_West,Location available upon request and owner approval ,,no,no,50,w,2018,11277,,box 3,plate 3
BOTE_0022,Towner_Berg_West,Location available upon request and owner approval ,,no,no,40,w,2018,11276,,box 3,plate 3
BOTE_0023,EDD-150-065-24,-98.925603,47.801788,yes,no,50,ab,2018,11680,,box 3,plate 3
BOTE_0024,EDD-150-065-24,-98.925603,47.801788,no,no,20,w,2019,15597,,box 3,plate 3
