Species,Type,X,Y,Location ,Property,used ,n_available,n_sequence_number,n_found,n_tubed
Bombus griseocollis,Bombus griseocollis,Location available upon request and owner approval ,,Adams_Blaha_Wolf_Butte,Private,9,9,9,9,9
Bombus griseocollis,Bombus griseocollis,-97.727203,48.085107,Agnes_Marsh_WPA,WPA,13,13,13,15,13
Bombus griseocollis,Bombus griseocollis,-103.168682,47.245237,BIL-144-099-36,STL,9,9,9,9,9
Bombus griseocollis,Bombus griseocollis,-97.42942,47.099056,Cass_Erie_Dam_WMA,WMA,18,28,20,27,20
Bombus griseocollis,Bombus griseocollis,-98.6072073,48.55438964,Cavalier_Thorson_WPA,WPA,9,9,9,9,9
Both,Bombus griseocollis,-98.925603,47.801788,EDD-150-065-24,STL,15,29,20,34,20
Both,Bombus ternarius,-98.925603,47.801788,EDD-150-065-24,STL,7,9,9,7,7
Bombus griseocollis,Bombus griseocollis,-100.498669,46.384451,Emmons_Schiermeister_WPA,WPA,14,15,15,15,15
Both,Bombus griseocollis,-97.789134,48.94874,Fitzsimond_Slough_WMA,WMA,10,10,10,12,10
Both,Bombus ternarius,-97.789134,48.94874,Fitzsimond_Slough_WMA,WMA,16,17,17,20,17
Both,Bombus griseocollis,-98.525493,47.518368,FOS-147-062-26,STL,9,9,9,9,9
Both,Bombus ternarius,-98.525493,47.518368,FOS-147-062-26,STL,12,11,11,12,12
Bombus ternarius,Bombus ternarius,-98.451647,47.637272,GRI-148-061-16,STL,13,14,14,13,13
Bombus ternarius,Bombus ternarius,-98.377549,47.592612,GRI-148-061-36,STL,15,17,17,16,16
Both,Bombus griseocollis,-98.360844,47.503219,Griggs_Evers_WPA,WPA,11,11,11,11,11
Both,Bombus ternarius,-98.360844,47.503219,Griggs_Evers_WPA,WPA,13,38,20,38,20
Bombus griseocollis,Bombus griseocollis,-102.479877,46.58122,Hettinger_Hillsview_WPA,WPA,20,25,20,24,20
Bombus griseocollis,Bombus griseocollis,Location available upon request and owner approval ,,McHenry_Taylor_Central ,Private,12,12,12,12,12
Bombus griseocollis,Bombus griseocollis,-100.709717,46.652197,Morton_Graner_Bottoms_WMA,WMA,9,9,9,9,9
Bombus ternarius,Bombus ternarius,-98.503875,47.914023,Nelson_Engen,Private,12,12,12,12,12
Both,Bombus griseocollis,-99.825541,48.48316,Pierce_Long_Lake_WPA,WPA,11,11,11,11,11
Both,Bombus ternarius,-99.825541,48.48316,Pierce_Long_Lake_WPA,WPA,19,20,20,20,20
Bombus ternarius,Bombus ternarius,-99.926416,48.819053,ROL-162-072-36,STL,10,10,10,19,10
Bombus griseocollis,Bombus griseocollis,Location available upon request and owner approval ,,Sheridan_Trego_West_1,Private,8,9,9,8,8
Bombus ternarius,Bombus ternarius,-97.599323,47.289063,Steele_Otto_Spies_WMA,WMA,11,11,11,11,11
Bombus ternarius,Bombus ternarius,-99.194762,47.217251,Stutsman_Northwestern_Lake_WPA,WPA,12,12,12,12,12
Bombus ternarius,Bombus ternarius,Location available upon request and owner approval ,,Towner_Berg_West,Private,10,10,10,10,10
Bombus ternarius,Bombus ternarius,-99.225514,48.593681,Towner_Nikolasien_WPA,WPA,13,13,13,13,13
Bombus griseocollis,Bombus griseocollis,-99.436155,47.687291,WEL-149-069-36,STL,13,13,13,13,13
Bombus griseocollis,Bombus griseocollis,-99.63883385,47.39720651,Wells_Pipestone_WPA,WPA,10,10,10,10,10
